1649030400000,3191.81000000,3193.46000000,3173.46000000,3175.78000000,76.34790000,1649030579999,242872.72297200,253,33.08520000,105324.52364300,0
1649030580000,3176.49000000,3188.89000000,3176.48000000,3188.57000000,84.17280000,1649030759999,267962.71674000,200,74.32290000,236590.26172400,0
1649030760000,3188.97000000,3189.68000000,3184.69000000,3184.69000000,33.45110000,1649030939999,106602.37651300,127,22.56710000,71916.30516500,0
1649030940000,3183.57000000,3187.87000000,3183.57000000,3187.87000000,26.05820000,1649031119999,83009.75192400,101,22.30950000,71066.53737700,0
1649031120000,3187.52000000,3188.20000000,3178.90000000,3182.33000000,27.79430000,1649031299999,88437.40789000,107,16.84480000,53596.30639900,0
1649031300000,3182.19000000,3183.63000000,3177.12000000,3179.37000000,12.34880000,1649031479999,39268.60335900,52,5.10350000,16232.08398000,0
1649031480000,3179.49000000,3180.64000000,3177.08000000,3178.20000000,21.84940000,1649031659999,69449.66588100,72,16.10900000,51203.36942600,0
1649031660000,3177.79000000,3181.64000000,3177.52000000,3178.66000000,30.51070000,1649031839999,96993.87315200,97,20.61310000,65524.80434000,0
1649031840000,3178.65000000,3180.07000000,3155.44000000,3155.44000000,171.17070000,1649032019999,542236.52063300,558,91.07520000,288521.22155500,0
1649032020000,3155.43000000,3166.10000000,3147.67000000,3162.34000000,162.09560000,1649032199999,511511.18426400,476,89.91990000,283816.42462900,0
1649032200000,3161.95000000,3170.24000000,3160.24000000,3166.74000000,35.13670000,1649032379999,111183.48225800,136,24.55870000,77714.20564700,0
1649032380000,3166.84000000,3171.51000000,3165.14000000,3170.27000000,32.79910000,1649032559999,103933.84307200,106,17.64210000,55903.31283300,0
1649032560000,3170.58000000,3175.03000000,3168.70000000,3173.06000000,54.63170000,1649032739999,173279.57421700,141,29.18560000,92574.05488400,0
1649032740000,3173.77000000,3175.05000000,3171.11000000,3174.20000000,22.50440000,1649032919999,71412.70990600,64,12.71900000,40363.37424500,0
1649032920000,3174.13000000,3174.86000000,3168.47000000,3169.65000000,36.10970000,1649033099999,114498.55891500,85,9.41790000,29852.10603900,0
