date,open,high,low,close,Volume,Close time,Quote asset volume,Trades,Tbbav,Tbqav,ig
1649257560000,2978.98000000,2980.63000000,2971.44000000,2978.68000000,48.26790000,1649257739999,143628.55954200,163,26.07220000,77570.00470900,0
1649257740000,2978.68000000,2978.68000000,2970.56000000,2972.51000000,26.69070000,1649257919999,79361.25307800,117,5.26320000,15656.19389900,0
1649257920000,2974.53000000,2976.04000000,2968.60000000,2973.80000000,29.03160000,1649258099999,86299.66518500,131,11.93760000,35503.08337800,0
1649258100000,2973.80000000,2980.62000000,2973.79000000,2975.99000000,60.83470000,1649258279999,181134.58799400,203,27.39710000,81583.18631300,0
1649258280000,2975.29000000,2975.29000000,2960.00000000,2962.01000000,45.84010000,1649258459999,135936.05409000,249,11.68480000,34650.16222100,0
1649258460000,2961.78000000,2982.27000000,2960.00000000,2982.27000000,57.76020000,1649258639999,171562.14281100,182,41.91420000,124478.66852300,0
1649258640000,2980.73000000,2985.38000000,2972.57000000,2979.50000000,27.16410000,1649258819999,80941.53472800,110,21.78320000,64914.39384900,0
1649258820000,2980.45000000,2981.21000000,2963.15000000,2963.71000000,39.47450000,1649258999999,117244.15606600,149,15.10740000,44852.33755500,0
1649259000000,2964.15000000,2968.31000000,2952.84000000,2956.36000000,96.75970000,1649259179999,286294.21251500,310,50.29590000,148886.17119000,0
1649259180000,2958.72000000,2984.26000000,2955.97000000,2981.04000000,126.82860000,1649259359999,377124.64604500,319,85.06780000,252948.18778200,0
1649259360000,2979.97000000,2980.36000000,2975.30000000,2980.36000000,26.11060000,1649259539999,77765.91131600,87,11.69790000,34850.48882600,0
1649259540000,2979.54000000,2988.41000000,2978.09000000,2984.75000000,20.73240000,1649259719999,61873.03137000,121,13.42870000,40071.13642100,0
1649259720000,2984.25000000,2986.74000000,2982.09000000,2986.74000000,11.58300000,1649259899999,34555.04957800,78,4.72660000,14101.38548600,0
1649259900000,2986.91000000,2992.01000000,2983.60000000,2989.20000000,72.29020000,1649260079999,215972.17786000,187,47.03580000,140531.21617300,0
1649260080000,2988.63000000,2994.40000000,2985.11000000,2987.80000000,143.26840000,1649260259999,428492.87214900,380,90.43100000,270437.19986800,0
1649260260000,2987.81000000,2994.22000000,2987.81000000,2992.18000000,86.23470000,1649260439999,257936.56836700,239,46.09810000,137877.24270500,0
1649260440000,2993.04000000,2993.04000000,2982.49000000,2984.30000000,28.24270000,1649260619999,84371.43994300,128,15.96300000,47700.00479200,0
1649260620000,2984.80000000,2988.91000000,2983.30000000,2987.40000000,41.34350000,1649260799999,123409.36263700,120,25.39900000,75803.96733100,0
1649260800000,2987.12000000,2990.65000000,2981.75000000,2986.28000000,76.78420000,1649260979999,229285.89582900,164,53.82910000,160750.26734100,0
1649260980000,2986.15000000,2986.47000000,2974.89000000,2986.47000000,99.47130000,1649261159999,296464.83151300,230,36.42370000,108568.16740400,0
1649261160000,2989.79000000,2990.45000000,2985.44000000,2989.93000000,21.92110000,1649261339999,65517.87717100,67,1.69720000,5073.29685200,0
1649261340000,2989.08000000,2990.13000000,2980.76000000,2983.13000000,52.36060000,1649261519999,156309.24150200,173,39.75940000,118696.41707100,0
1649261520000,2981.80000000,2982.69000000,2971.58000000,2973.99000000,80.88660000,1649261699999,240769.38455500,242,38.93600000,115930.97737000,0
1649261700000,2974.58000000,2979.33000000,2963.74000000,2965.89000000,44.51650000,1649261879999,132192.73423900,167,27.65690000,82114.44037200,0
1649261880000,2964.09000000,2966.79000000,2961.51000000,2962.81000000,14.01610000,1649262059999,41552.60774600,92,10.87360000,32239.31989100,0
1649262060000,2961.88000000,2966.17000000,2951.50000000,2965.29000000,84.27730000,1649262239999,249230.50404800,326,44.99390000,133031.49783900,0
1649262240000,2964.88000000,2965.64000000,2947.66000000,2947.66000000,109.50510000,1649262419999,323274.71257600,314,31.68050000,93579.78838000,0
1649262420000,2947.66000000,2953.09000000,2946.91000000,2950.35000000,45.51910000,1649262599999,134275.80616100,142,33.62570000,99190.63047200,0
1649262600000,2950.00000000,2956.43000000,2942.01000000,2945.37000000,83.44030000,1649262779999,245977.66410000,241,30.95360000,91273.49941800,0
1649262780000,2944.75000000,2958.45000000,2943.14000000,2946.03000000,57.90160000,1649262959999,170841.27353500,200,33.04520000,97485.44424600,0
1649262960000,2944.10000000,2948.32000000,2938.40000000,2941.97000000,56.40220000,1649263139999,166027.05808900,231,28.54310000,84033.31305300,0
1649263140000,2944.89000000,2948.51000000,2923.62000000,2934.84000000,185.84930000,1649263319999,545372.52091300,707,76.18520000,223512.43796800,0
1649263320000,2934.88000000,2946.12000000,2933.39000000,2946.12000000,17.33190000,1649263499999,50961.37160000,117,10.04050000,29515.80569700,0
1649263500000,2945.76000000,2945.76000000,2935.38000000,2939.65000000,46.68540000,1649263679999,137308.85907200,167,32.17860000,94629.21387800,0
1649263680000,2942.80000000,2948.42000000,2941.42000000,2943.80000000,29.91360000,1649263859999,88119.97837300,96,19.88210000,58583.32858800,0
1649263860000,2944.48000000,2946.17000000,2942.74000000,2943.74000000,21.74830000,1649264039999,64032.81555900,118,15.30770000,45074.10096100,0
1649264040000,2943.40000000,2951.03000000,2942.84000000,2949.49000000,45.57330000,1649264219999,134335.10167000,167,25.64220000,75574.36719700,0
1649264220000,2949.95000000,2950.44000000,2946.00000000,2946.37000000,32.32910000,1649264399999,95300.33057000,131,17.22390000,50778.12909500,0
1649264400000,2946.53000000,2946.53000000,2933.39000000,2934.13000000,62.55450000,1649264579999,183885.22462400,204,24.30360000,71439.31128800,0
1649264580000,2933.41000000,2934.14000000,2917.86000000,2928.64000000,106.64580000,1649264759999,311964.09463400,422,63.32600000,185301.05815200,0
1649264760000,2928.11000000,2937.89000000,2922.31000000,2926.32000000,48.60950000,1649264939999,142400.91595300,185,22.20550000,65047.93611600,0
